type,include,geographyType
"51573/arch",false,
"51574/storehouse",false,
"51621/government office building",false,
"51623/courthouse",false,
"51631/post office",false,
"51632/customhouse",false,
"51641/diplomatic building(s)",false,
"51651/fire station",false,
"51714/amphitheater",false,
"51715/theater",false,
"51718/arena",false,
"51820/religious building",false,
"51821/church",false,
"51822/cathedral",false,
"51826/mosque",false,
"51827/synagogue",false,
"51828/temple",false,
"51829/shrine",false,
"51830/pagoda",false,
"51841/bridge",false,
"51845/tunnel",false,
"51860/agricultural building",false,
"51991/ruins",false,
"51992/abandoned dwelling",false,
"51993/wreck",false,
"52301/cloister",false,
"52363/sanctuary",false,
"52451/burial chamber",false,
"52461/tower",false,
"52462/lighthouse",false,
"52613/traffic circle",false,
"53010/garden",false,
"53030/square",false,
"53031/piazza",false,
"53032/plaza (open space)",false,
"53033/central business district",false,
"53110/nature reserve",false,
"53111/wilderness area",false,
"53112/wildlife refuge",false,
"53113/Indigenous Protected Area",false,
"53114/protected area",false,
"53115/national forest",false,
"53116/state forest",false,
"53117/marine sanctuary",false,
"53118/reserve",false,
"53120/park",false,
"53121/marine park",false,
"53122/urban park",false,
"53123/historical park",false,
"53124/military park",false,
"53125/battlefield park",false,
"53126/national park",false,
"53127/provincial park",false,
"53128/state park",false,
"53129/national monument",false,
"53130/landfill",false,
"53141/athletic field",false,
"53151/road",false,
"53152/route",false,
"53153/highway",false,
"53154/parkway",false,
"53155/railroad",false,
"53156/causeway",false,
"53157/street",false,
"53158/trail",false,
"53159/crossing",false,
"53161/intersection",false,
"53162/subway",false,
"53163/observation point",false,
"53169/pedestrian mall",false,
"53201/city block",false,
"53203/forum",false,
"53206/parking garage",false,
"53223/landing",false,
"54010/complex",false,
"54011/farm",false,
"54012/abandoned complex",false,
"54013/dairy",false,
"54014/orchard",false,
"54015/vineyard",false,
"54031/hacienda",false,
"54033/manor",false,
"54034/estate",false,
"54041/plantation",false,
"54051/ranch",false,
"54052/grazing area",false,
"54053/homestead",false,
"54054/stable",false,
"54055/corral",false,
"54110/cemetery",false,
"54111/catacombs",false,
"54113/necropolis",false,
"54123/national cemetery",false,
"54210/industrial complex",false,
"54211/mine",false,
"54212/mines",false,
"54213/oil field",false,
"54214/inactive mine",false,
"54215/gas field",false,
"54216/coalfield",false,
"54217/quarry",false,
"54218/ore treatment plant",false,
"54219/coal mine(s)",false,
"54220/oil refinery",false,
"54221/shopping center",false,
"54222/market",false,
"54223/salt mine(s)",false,
"54224/iron mine",false,
"54225/brewery",false,
"54226/oil pipeline",false,
"54227/lead mine",false,
"54228/copper mine",false,
"54229/gold mine",false,
"54230/tank farm",false,
"54231/power plant",false,
"54232/sewage treatment plant",false,
"54233/mill",false,
"54234/sugar mill",false,
"54235/water mill",false,
"54236/factory",false,
"54237/hydroelectric power plant",false,
"54238/munitions plant",false,
"54239/phosphate works",false,
"54240/sugar refinery",false,
"54241/copper works",false,
"54242/sawmill",false,
"54250/military installation",false,
"54251/defense installation",false,
"54252/naval base",false,
"54253/air base",false,
"54254/barracks",false,
"54255/governmental installation",false,
"54257/depot",false,
"54310/recreation area",false,
"54311/amusement park",false,
"54315/camp",false,
"54316/resthouse",false,
"54321/preserve",false,
"54331/resort",false,
"54341/stadium",false,
"54342/racetrack",false,
"54343/golf course",false,
"54410/religious community",false,
"54411/convent",false,
"54412/hermitage",false,
"54413/monastery",false,
"54414/abbey",false,
"54417/priory",false,
"54418/sacred site",false,
"54419/ceremonial site",false,
"54421/holy precinct",false,
"54450/site",false,
"54451/archaeological site",false,
"54452/burial site",false,
"54453/megalithic site",false,
"54454/prehistoric site",false,
"54455/ancient site",false,
"54456/burial cave",false,
"54458/underwater site",false,
"54459/submerged site",false,
"54460/World Heritage Site",false,
"54461/historic site",false,
"54462/battlefield",false,
"54463/archaeological sites",false,
"54471/barrow",false,
"54472/tumulus",false,
"54473/earthwork",false,
"54491/paleontological site",false,
"54492/type site",false,
"54548/transit terminal",false,
"54549/transport point",false,
"54550/airfield",false,
"54551/airport",false,
"54552/heliport",false,
"54553/abandoned airfield",false,
"54554/post station",false,
"54555/railroad yard",false,
"54556/railroad station",false,
"54557/caravanserai",false,
"54558/stage station",false,
"54559/subway station",false,
"54560/sluice",false,
"54561/dockyard",false,
"54562/marina",false,
"54563/shipyard",false,
"54564/oil terminal",false,
"54566/breakwater",false,
"54567/jetty",false,
"54568/mole",false,
"54569/quay",false,
"54570/ferry terminal",false,
"54571/ferry",false,
"54572/railroad signal",false,
"54573/railroad siding",false,
"54574/halting place",false,
"54600/scientific facility",false,
"54601/observatory",false,
"54602/research institute",false,
"54603/scientific research base",false,
"54604/triangulation station",false,
"54606/meteorological station",false,
"54607/atomic research center",false,
"54608/aerospace facility",false,
"54609/health facility",false,
"54610/aquaculture facility",false,
"54611/zoo",false,
"54615/forest station",false,
"55001/agricultural land",false,
"55111/forest reserve",false,
"80002/political entity",false,
"80003/dependent political entity",false,
"80005/semi-independent political entity",false,
"80006/independent political entity",false,
"81002/primary political unit",false,
"81003/empire",false,
"81004/alliance",false,
"81005/federation",false,
"81006/association",false,
"81007/league",false,
"81009/confederation",false,
"81010/nation",true,country
"81011/independent sovereign nation",true,country
"81012/independent nation",true,country
"81013/tribal nation",false,
"81014/tribal entity",false,
"81021/dependent state",true,country
"81022/organization",false,
"81030/group of nations/states/cities",false,
"81031/former group of nations/states/cities",false,
"81051/island nation",true,country
"81099/administrative division",false,
"81100/first level subdivision",false,
"81101/area",false,other
"81102/country",true,
"81103/bailiwick",false,country
"81104/autonomous municipality",false,
"81105/canton",false,
"81106/city-state",false,
"81107/special city",false,
"81108/colony",false,
"81110/urban county",false,
"81111/commonwealth",false,
"81112/commune (administrative)",false,
"81113/independent city",false,
"81114/autonomous city",false,
"81115/county",false,
"81116/unitary authority",false,
"81117/department",false,stateProvince
"81118/local council",false,
"81119/regional council",false,
"81120/local district",false,
"81121/dependency",false,
"81122/local region",false,
"81123/national region",true,stateProvince
"81124/autonomous district",true,stateProvince
"81125/national district",true,stateProvince
"81126/national division",true,stateProvince
"81128/senatorial district",false,
"81129/land grant",false,
"81130/raion",false,
"81131/region (geographic)",false,
"81141/march",false,
"81142/deme",false,
"81145/oblast",true,stateProvince
"81146/kray",false,
"81151/parish (political)",false,
"81157/prefecture",false,
"81158/urban prefecture",false,
"81159/protectorate",false,
"81160/town council",false,
"81161/province",true,stateProvince
"81164/overseas province",true,stateProvince
"81165/region (administrative division)",true,stateProvince
"81166/autonomous region",true,stateProvince
"81167/autonomous province",true,stateProvince
"81168/autonomous republic",true,country
"81169/autonomous sector",true,stateProvince
"81170/autonomous community",true,stateProvince
"81171/shire",false,
"81175/state",true,stateProvince
"81176/statistical area",false,
"81177/national subdivision",false,
"81178/special area",false,
"81181/territory",true,stateProvince
"81182/external territory",true,stateProvince
"81183/unincorporated territory",false,
"81184/overseas territory",true,stateProvince
"81185/overseas department",true,stateProvince
"81186/union territory",true,stateProvince
"81187/federal territory",true,stateProvince
"81188/federal capital territory",true,stateProvince
"81189/special territory",true,stateProvince
"81191/voivodeship",false,
"81193/zone",false,
"81194/tributary (political)",false,
"81195/eparchy",false,
"81199/ancient region",false,
"81215/autonomous area",false,
"81225/regional division",false,
"81232/protected state",false,
"81260/controlled region",false,
"81261/condominium",false,
"81264/frontier",false,
"81267/vassal state",false,
"81268/dominion",false,
"81278/trust territory",false,
"81279/mandate",false,
"81281/possession",false,
"81282/fief",false,
"81283/occupied territory",false,
"81284/neutral zone",false,
"81285/annex",false,
"81286/disputed territory",false,
"81287/buffer zone",false,
"81289/border post",false,
"81290/patrol post",false,
"81291/enclave",false,
"81292/plaza (administrative)",false,
"81300/second level subdivision",false,
"81421/family",false,
"81441/tribe",false,
"81501/historical region",false,
"81502/former administrative division",false,
"81503/former territory/colony/dependent state",false,
"81508/former nation/state/empire",false,
"82107/caliphate",false,
"82109/commandery",false,
"82110/countship",false,
"82113/despotate",false,
"82115/dictatorship",false,
"82116/military regime",false,
"82121/duchy",false,
"82123/grand duchy",false,
"82125/dynasty",false,
"82127/earldom",false,
"82128/electorate",false,
"82129/prince-bishopric",false,
"82131/emirate",false,
"82133/governorate",false,
"82136/pirate haven",false,
"82139/khanate",false,
"82141/kingdom",false,
"82144/landgraviate",false,
"82145/lordship",false,
"82146/margraviate",false,
"82151/monarchy",false,
"82153/constitutional monarchy",false,
"82155/oligarchy",false,
"82161/patriarchy",false,
"82164/principality",false,
"82171/republic",true,country
"82179/satrapy",false,
"82183/sheikhdom",false,
"82185/sultanate",false,
"82186/suzerainty",false,
"82187/viceroyalty",false,
"82188/tsardom",false,
"82193/union",false,
"82311/diocese",false,
"82312/archdiocese",false,
"82351/parish (ecclesiastical)",false,
"82401/third level subdivision",false,
"82402/fourth level subdivision",false,
"82405/arrondissement",false,
"82411/borough",false,
"82471/township",false,
"83001/occupation site",false,
"83002/inhabited place",false,other
"83003/locale",false,
"83004/base",false,
"83005/center",false,
"83006/community",false,
"83007/locality",false,
"83008/emporium",false,
"83009/rural community",false,
"83010/hamlet",false,
"83011/seat",false,
"83020/village",false,
"83022/farm village",false,
"83030/town",false,
"83033/oppidum",false,
"83040/city",false,
"83042/metropolis",false,
"83043/municipality",false,
"83044/special municipality",false,
"83045/municipium",false,
"83046/poleis",false,
"83047/civitas",false,
"83051/urban center",false,
"83061/metropolitan area",false,
"83081/villeneuve",false,
"83101/administrative center",false,
"83102/legislative center",false,
"83103/judicial center",false,
"83104/prison center",false,
"83105/concentration camp site",false,
"83109/leper colony",false,
"83110/capital",false,
"83111/national capital",false,
"83112/regional capital",false,
"83113/state capital",false,
"83114/district capital",false,
"83115/provincial capital",false,
"83116/department capital",false,
"83118/county seat",false,
"83119/subregional capital",false,
"83120/census district",false,
"83127/regional center",false,
"83131/transportation center",false,
"83132/railroad camp",false,
"83133/lumber camp",false,
"83141/colonial settlement",false,
"83144/frontier settlement",false,
"83145/cow town",false,
"83146/gold town",false,
"83147/residential center",false,
"83148/roadside rest area",false,
"83149/refugee camp",false,
"83150/religious center",false,
"83151/mission",false,
"83152/pilgrimage center",false,
"83153/episcopal see",false,
"83154/archiepiscopal see",false,
"83155/monastic center",false,
"83156/patriarchal see",false,
"83157/sanctuary center",false,
"83158/cult center",false,
"83171/military center",false,
"83173/presidio",false,
"83175/fortified settlement",false,
"83181/royal residence",false,
"83182/imperial city",false,
"83183/noble seat",false,
"83184/ducal residence",false,
"83185/papal residence",false,
"83210/deserted settlement",false,
"83211/ghost town",false,
"83212/ruined settlement",false,
"83213/former community",false,
"83215/tell",false,
"83218/lost settlement",false,
"83219/ephemeral community",false,
"83220/lost area",false,
"83241/unincorporated area",false,
"83245/seasonally inhabited place",false,
"83302/breeding center (animal)",false,
"83303/agricultural center",false,
"83304/irrigation center",false,
"83305/boomtown",false,
"83306/livestock center",false,
"83307/timber center",false,
"83308/viniculture center",false,
"83309/corporate headquarters",false,
"83313/fish-processing center",false,
"83314/fishing community",false,
"83315/fur station",false,
"83316/whaling station",false,
"83317/fishing spot",false,
"83318/inspection station",false,
"83319/radio station",false,
"83321/financial center",false,
"83323/market center",false,
"83324/commercial center",false,
"83325/trade center",false,
"83326/shipping center",false,
"83331/port",false,
"83332/treaty port",false,
"83333/free port",false,
"83334/shipbuilding center",false,
"83335/inland port",false,
"83336/seaport",false,
"83337/river port",false,
"83338/port of entry",false,
"83343/textile center",false,
"83351/tourist center",false,
"83352/resort center",false,
"83353/sporting center",false,
"83354/spa center",false,
"83355/entertainment center",false,
"83360/educational center",false,
"83361/university center",false,
"83362/college center",false,
"83363/community center",false,
"83365/scientific center",false,
"83366/publishing center",false,
"83367/medical center",false,
"83371/industrial center",false,
"83372/factory center",false,
"83373/mill center",false,
"83374/mining center",false,
"83375/quarrying center",false,
"83376/oil field site",false,
"83377/manufacturing center",false,
"83378/petroleum refining center",false,
"83379/metallurgical center",false,
"83381/communications center",false,
"83385/power production center",false,
"83387/weapons production center",false,
"83431/coastal settlement",false,
"83432/hill settlement",false,
"83433/river settlement",false,
"83436/oasis settlement",false,
"83501/artists' colony",false,
"83504/penal settlement",false,
"83505/cultural center",false,
"83506/craftsman settlement",false,
"83507/political center",false,
"83508/refugee center",false,
"83509/hunting base",false,
"83510/tribal area",false,
"83511/Indian reservation (Native American reservation)",false,
"83512/Aboriginal reserve",false,
"83513/pueblo",false,
"83514/native peoples reservation",false,
"83516/culture area",false,
"83603/kibbutz",false,
"84001/part of inhabited place",false,
"84002/urban subdivision",false,
"84211/Chinatown",false,
"84214/Bezirk",false,
"84216/sestiere",false,
"84217/rione",false,
"84218/urban district",false,
"84221/frazione",false,
"84251/neighborhood",false,
"84255/Ortsteil",false,
"84271/quarter",false,
"84272/historic quarter",false,
"84273/quartiere",false,
"84279/pleasure quarter",false,
"84311/subdivision",false,
"84312/housing development",false,
"84561/suburb",false,
"84563/garden suburb",false,
"85101/border (boundary)",false,
"85102/boundary marker",false,
"85103/tollgate/barrier",false,
